System;name;L;a;b;R;G;B;hex
Pantone;212C;59;68;-5;243;78;154;#F34E9A
Pantone;213C;51;76;4;230;21;119;#E61577
Pantone;214C;45;72;7;208;0;99;#D00063
Pantone;215C;38;60;5;170;16;84;#AA1054
Pantone;216C;28;42;2;122;29;66;#7A1D42
Pantone;217C;81;22;-10;236;187;221;#ECBBDD
Pantone;218C;64;54;-16;232;111;184;#E86FB8
Pantone;219C;51;74;-8;224;33;138;#E0218A
Pantone;220C;37;66;3;174;0;85;#AE0055
Pantone;221C;32;58;2;150;0;75;#96004B
Pantone;222C;25;39;-2;108;25;63;#6C193F
Pantone;223C;73;43;-16;242;147;209;#F293D1
Pantone;224C;64;59;-19;239;106;191;#EF6ABF
Pantone;225C;53;76;-17;229;35;157;#E5239D
Pantone;226C;45;80;-5;214;0;119;#D60077
Pantone;227C;36;68;-4;174;0;95;#AE005F
Pantone;228C;30;53;-6;138;7;83;#8A0753
Pantone;229C;25;37;-5;106;29;68;#6A1D44
Pantone;230C;78;36;-14;247;167;219;#F7A7DB
Pantone;231C;67;57;-20;245;117;201;#F575C9
Pantone;232C;58;73;-20;239;64;176;#EF40B0
Pantone;233C;44;75;-14;201;0;129;#C90081
Pantone;234C;36;63;-12;166;0;107;#A6006B
Pantone;235C;30;53;-9;137;8;87;#890857
Pantone;236C;79;30;-14;242;176;223;#F2B0DF
Pantone;2365C;84;20;-10;239;195;228;#EFC3E4
Pantone;237C;69;48;-22;238;134;211;#EE86D3
Pantone;2375C;64;54;-28;226;112;205;#E270CD
Pantone;238C;59;65;-25;230;83;188;#E653BC
Pantone;2385C;52;71;-31;215;51;180;#D733B4
Pantone;239C;53;73;-26;224;50;175;#E032AF
Pantone;2395C;42;79;-30;196;0;152;#C40098
Pantone;240C;46;69;-25;196;30;153;#C41E99
Pantone;2405C;36;70;-28;167;0;132;#A70084
Pantone;241C;39;65;-22;172;4;129;#AC0481
Pantone;2415C;33;64;-25;151;0;118;#970076
Pantone;242C;29;45;-12;122;26;87;#7A1A57
Pantone;2425C;28;55;-20;130;0;99;#820063
Pantone;243C;80;24;-16;232;183;229;#E8B7E5
Pantone;244C;75;33;-21;230;162;224;#E6A2E0
Pantone;245C;67;46;-28;223;129;214;#DF81D6
Pantone;246C;46;74;-36;199;11;172;#C70BAC
Pantone;247C;41;71;-36;183;0;157;#B3009D
Pantone;248C;36;63;-31;158;3;137;#9E0389
Pantone;249C;30;44;-19;123;34;102;#7B2266
Pantone;250C;82;18;-14;227;192;230;#E3C0E6
Pantone;251C;72;32;-26;217;156;225;#D99CE1
Pantone;252C;58;52;-38;202;101;209;#CA65D1
Pantone;253C;42;66;-46;169;27;176;#A91BB0
Pantone;254C;38;57;-39;150;35;153;#962399
Pantone;255C;29;40;-25;112;38;108;#70266C
Pantone;256C;80;14;-13;217;191;224;#D9BFE0
Pantone;2562C;73;24;-26;207;165;228;#CFA5E4
Pantone;2563C;70;24;-24;199;157;216;#C79DD8
Pantone;2567C;68;22;-28;187;153;218;#BB99DA
Pantone;257C;72;21;-19;203;164;212;#CBA4D4
Pantone;2572C;64;35;-36;192;132;220;#C084DC
Pantone;2573C;59;33;-32;178;121;200;#B279C8
Pantone;2577C;57;30;-38;162;118;204;#A276CC
Pantone;258C;43;41;-33;146;73;158;#92499E
Pantone;2582C;48;51;-50;162;76;200;#A24CC8
Pantone;2583C;46;43;-40;153;80;178;#9950B2
Pantone;2587C;42;41;-49;131;72;181;#8348B5
Pantone;259C;27;44;-32;108;27;114;#6C1B72
Pantone;2592C;37;62;-55;144;22;178;#9016B2
Pantone;2593C;35;48;-43;126;43;151;#7E2B97
Pantone;2597C;24;50;-55;89;5;141;#59058D
Pantone;260C;24;37;-25;95;29;95;#5F1D5F
Pantone;2602C;31;57;-48;125;9;150;#7D0996
Pantone;2603C;27;46;-41;104;23;127;#68177F
Pantone;2607C;20;46;-50;79;2;124;#4F027C
Pantone;261C;23;33;-20;89;30;85;#591E55
Pantone;2612C;27;45;-37;106;26;122;#6A1A7A
Pantone;2613C;25;43;-37;97;23;116;#611774
Pantone;2617C;19;41;-44;75;11;113;#4B0B71
Pantone;262C;21;26;-14;79;34;72;#4F2248
Pantone;2622C;24;30;-21;87;36;88;#572458
Pantone;2623C;22;37;-30;88;25;99;#581963
Pantone;2627C;17;34;-36;67;18;95;#43125F
Pantone;263C;84;9;-14;216;203;235;#D8CBEB
Pantone;2635C;74;14;-25;191;175;228;#BFAFE4
Pantone;264C;72;17;-29;188;168;230;#BCA8E6
Pantone;2645C;65;20;-35;170;148;222;#AA94DE
Pantone;265C;51;34;-51;141;101;210;#8D65D2
Pantone;2655C;55;28;-46;145;115;211;#9173D3
Pantone;266C;35;46;-64;103;50;186;#6732BA
Pantone;2665C;44;37;-56;122;82;199;#7A52C7
Pantone;267C;25;41;-55;79;31;145;#4F1F91
Pantone;268C;23;35;-46;74;33;126;#4A217E
Pantone;2685C;14;48;-61;59;0;132;#3B0084
Pantone;269C;22;25;-31;69;38;99;#452663
Pantone;2695C;17;24;-32;59;29;89;#381D59
Pantone;270C;72;8;-24;173;172;220;#ADACDC
Pantone;2705C;67;12;-33;162;159;224;#A29FE0
Pantone;2706C;82;2;-16;196;203;234;#C4CBEA
Pantone;2707C;83;-2;-17;186;208;238;#BDD0EE
Pantone;2708C;79;-1;-21;177;197;234;#B1C5EA
Pantone;271C;62;13;-34;148;144;210;#9490D2
Pantone;2715C;57;18;-45;133;128;216;#8580D8
Pantone;2716C;67;7;-35;148;161;226;#94A1E2
Pantone;2717C;76;-2;-26;161;189;234;#A1BDEA
Pantone;2718C;53;7;-52;84;126;217;#547ED9
Pantone;272C;52;17;-41;121;115;194;#7973C2
Pantone;2725C;42;29;-60;94;83;199;#5E53C7
Pantone;2726C;40;23;-63;69;85;199;#4555C7
Pantone;2727C;50;6;-58;56;120;219;#3878DB
Pantone;2728C;33;20;-69;0;71;190;#0047BE
Pantone;273C;16;32;-55;37;23;122;#25177A
Pantone;2735C;14;54;-74;40;0;146;#280092
Pantone;2736C;24;40;-75;30;34;174;#1E22AE
Pantone;2738C;18;41;-75;0;18;157;#00129D
Pantone;274C;13;28;-47;33;18;101;#211265
Pantone;2745C;12;43;-62;34;0;122;#22007A
Pantone;2746C;20;36;-67;26;28;150;#1A1C96
Pantone;2747C;17;20;-57;0;35;126;#00237E
Pantone;2748C;15;26;-58;0;26;123;#001A7B
Pantone;275C;11;24;-41;29;17;87;#1D1157
Pantone;2755C;10;37;-55;27;0;105;#1B0069
Pantone;2756C;16;23;-50;21;29;113;#151D71
Pantone;2757C;14;13;-45;0;32;101;#002065
Pantone;2758C;14;18;-48;0;29;104;#001D68
Pantone;276C;13;14;-25;36;26;68;#241A44
Pantone;2765C;9;26;-42;27;12;85;#1B0C55
Pantone;2766C;13;14;-36;21;28;85;#151C55
Pantone;2767C;13;2;-25;11;35;69;#0B2345
Pantone;2768C;12;9;-35;3;30;81;#031E51
Pantone;277C;79;-4;-22;169;199;236;A9C7EC
Pantone;278C;72;-4;-31;140;180;232;#8CB4E8
Pantone;279C;56;-2;-50;65;137;221;#4189DD
Pantone;280C;17;16;-57;0;38;127;#00267F
Pantone;281C;15;10;-46;0;37;105;#002569
Pantone;282C;12;3;-33;0;32;78;#00204E
Pantone;283C;75;-7;-27;147;191;235;#93BFEB
Pantone;284C;67;-8;-37;108;171;231;#6CABE7
Pantone;285C;48;-3;-58;0;119;212;#0077D4
Pantone;286C;25;21;-73;0;53;173;#0035AD
