System;name;L;a;b;R;G;B;hex
autocad;162;;;;;;;#002ebd
autocad;163;;;;;;;#7e8dbd
autocad;164;;;;;;;#001f81
autocad;165;;;;;;;#566081
autocad;166;;;;;;;#001968
autocad;167;;;;;;;#454e68
autocad;168;;;;;;;#00134f
autocad;169;;;;;;;#353b4f
autocad;170;;;;;;;#0000ff
autocad;171;;;;;;;#aaaaff
autocad;172;;;;;;;#0000bd
autocad;173;;;;;;;#7e7ebd
autocad;174;;;;;;;#000081
autocad;175;;;;;;;#565681
autocad;176;;;;;;;#000068
autocad;177;;;;;;;#454568
autocad;178;;;;;;;#00004f
autocad;179;;;;;;;#35354f
autocad;180;;;;;;;#3f00ff
autocad;181;;;;;;;#bfaaff
autocad;182;;;;;;;#2e00bd
autocad;183;;;;;;;#8d7ebd
autocad;184;;;;;;;#1f0081
autocad;185;;;;;;;#605681
autocad;186;;;;;;;#190068
autocad;187;;;;;;;#4e4568
autocad;188;;;;;;;#13004f
autocad;189;;;;;;;#3b354f
autocad;190;;;;;;;#7f00ff
autocad;191;;;;;;;#d4aaff
autocad;192;;;;;;;#5e00bd
autocad;193;;;;;;;#9d7ebd
autocad;194;;;;;;;#400081
autocad;195;;;;;;;#6b5681
autocad;196;;;;;;;#340068
autocad;197;;;;;;;#564568
autocad;198;;;;;;;#27004f
autocad;199;;;;;;;#42354f
autocad;200;;;;;;;#bf00ff
autocad;201;;;;;;;#eaaaff
autocad;202;;;;;;;#8d00bd
autocad;203;;;;;;;#ad7ebd
autocad;204;;;;;;;#600081
autocad;205;;;;;;;#765681
autocad;206;;;;;;;#4e0068
autocad;207;;;;;;;#5f4568
autocad;208;;;;;;;#3b004f
autocad;209;;;;;;;#49354f
autocad;210;;;;;;;#ff00ff
autocad;211;;;;;;;#ffaaff
autocad;212;;;;;;;#bd00bd
autocad;213;;;;;;;#bd7ebd
autocad;214;;;;;;;#810081
autocad;215;;;;;;;#815681
autocad;216;;;;;;;#680068
autocad;217;;;;;;;#684568
autocad;218;;;;;;;#4f004f
autocad;219;;;;;;;#4f354f
autocad;220;;;;;;;#ff00bf
autocad;221;;;;;;;#ffaaea
autocad;222;;;;;;;#bd008d
autocad;223;;;;;;;#bd7ead
autocad;224;;;;;;;#810060
autocad;225;;;;;;;#815676
autocad;226;;;;;;;#68004e
autocad;227;;;;;;;#68455f
autocad;228;;;;;;;#4f003b
autocad;229;;;;;;;#4f3549
autocad;230;;;;;;;#ff007f
autocad;231;;;;;;;#ffaad4
autocad;232;;;;;;;#bd005e
autocad;233;;;;;;;#bd7e9d
autocad;234;;;;;;;#810040
autocad;235;;;;;;;#81566b
autocad;236;;;;;;;#680034
autocad;237;;;;;;;#684556
autocad;238;;;;;;;#4f0027
autocad;239;;;;;;;#4f3542
autocad;240;;;;;;;#ff003f
autocad;241;;;;;;;#ffaabf
autocad;242;;;;;;;#bd002e
autocad;243;;;;;;;#bd7e8d
autocad;244;;;;;;;#81001f
autocad;245;;;;;;;#815660
autocad;246;;;;;;;#680019
autocad;247;;;;;;;#68454e
autocad;248;;;;;;;#4f0013
autocad;249;;;;;;;#4f353b
autocad;250;;;;;;;#333333
autocad;251;;;;;;;#505050
autocad;252;;;;;;;#696969
autocad;253;;;;;;;#828282
autocad;254;;;;;;;#bebebe
autocad;255;;;;;;;#ffffff
websafe;indigo;;;;;;;#4B0082
websafe;gold;;;;;;;#FFD700
websafe;hotpink;;;;;;;#FF69B4
websafe;firebrick;;;;;;;#B22222
websafe;indianred;;;;;;;#CD5C5C
websafe;yellow;;;;;;;#FFFF00
websafe;mistyrose;;;;;;;#FFE4E1
websafe;darkolivegreen;;;;;;;#556B2F
websafe;darkseagreen;;;;;;;#8FBC8F
websafe;pink;;;;;;;#FFC0CB
websafe;tomato;;;;;;;#FF6347
websafe;lightcoral;;;;;;;#F08080
websafe;orangered;;;;;;;#FF4500
websafe;navajowhite;;;;;;;#FFDEAD
websafe;lime;;;;;;;#00FF00
websafe;palegreen;;;;;;;#98FB98
websafe;slategrey;;;;;;;#708090
websafe;greenyellow;;;;;;;#ADFF2F
websafe;burlywood;;;;;;;#DEB887
websafe;seashell;;;;;;;#FFF5EE
websafe;mediumspringgreen;;;;;;;#00FA9A
websafe;papayawhip;;;;;;;#FFEFD5
websafe;blanchedalmond;;;;;;;#FFEBCD
websafe;chartreuse;;;;;;;#7FFF00
websafe;dimgray;;;;;;;#696969
websafe;black;;;;;;;#000000
websafe;peachpuff;;;;;;;#FFDAB9
websafe;springgreen;;;;;;;#00FF7F
websafe;aquamarine;;;;;;;#7FFFD4
websafe;white;;;;;;;#FFFFFF
websafe;orange;;;;;;;#FFA500
websafe;lightsalmon;;;;;;;#FFA07A
websafe;darkslategray;;;;;;;#2F4F4F
websafe;brown;;;;;;;#A52A2A
websafe;ivory;;;;;;;#FFFFF0
websafe;dodgerblue;;;;;;;#1E90FF
websafe;peru;;;;;;;#CD853F
websafe;lawngreen;;;;;;;#7CFC00
websafe;chocolate;;;;;;;#D2691E
websafe;crimson;;;;;;;#DC143C
websafe;olivedrab;;;;;;;#6B8E23
websafe;forestgreen;;;;;;;#228B22
websafe;darkgrey;;;;;;;#A9A9A9
websafe;olive;;;;;;;#808000
websafe;cyan;;;;;;;#00FFFF
websafe;mintcream;;;;;;;#F5FFFA
websafe;silver;;;;;;;#C0C0C0
websafe;antiquewhite;;;;;;;#FAEBD7
websafe;mediumorchid;;;;;;;#BA55D3
websafe;skyblue;;;;;;;#87CEEB
websafe;gray;;;;;;;#808080
websafe;darkturquoise;;;;;;;#00CED1
websafe;darkorange;;;;;;;#FF8C00
websafe;darkgreen;;;;;;;#006400
websafe;floralwhite;;;;;;;#FFFAF0
websafe;darkviolet;;;;;;;#9400D3
websafe;darkgray;;;;;;;#A9A9A9
websafe;moccasin;;;;;;;#FFE4B5
websafe;saddlebrown;;;;;;;#8B4513
websafe;grey;;;;;;;#808080
websafe;darkslateblue;;;;;;;#483D8B
websafe;lightskyblue;;;;;;;#87CEFA
websafe;lightpink;;;;;;;#FFB6C1
websafe;mediumvioletred;;;;;;;#C71585
websafe;goldenrod;;;;;;;#DAA520
websafe;paleturquoise;;;;;;;#AFEEEE
websafe;teal;;;;;;;#008080
websafe;limegreen;;;;;;;#32CD32
websafe;darkmagenta;;;;;;;#8B008B
websafe;palegoldenrod;;;;;;;#EEE8AA
websafe;plum;;;;;;;#DDA0DD
websafe;turquoise;;;;;;;#40E0D0
websafe;lightgrey;;;;;;;#D3D3D3
websafe;lightgoldenrodyellow;;;;;;;#FAFAD2
websafe;darkgoldenrod;;;;;;;#B8860B
websafe;lavender;;;;;;;#E6E6FA
websafe;maroon;;;;;;;#800000
websafe;yellowgreen;;;;;;;#9ACD32
websafe;sandybrown;;;;;;;#F4A460
websafe;thistle;;;;;;;#D8BFD8
websafe;violet;;;;;;;#EE82EE
websafe;navy;;;;;;;#000080
websafe;magenta;;;;;;;#FF00FF
websafe;dimgrey;;;;;;;#696969
websafe;tan;;;;;;;#D2B48C
websafe;rosybrown;;;;;;;#BC8F8F
websafe;lightseagreen;;;;;;;#20B2AA
websafe;blue;;;;;;;#0000FF
websafe;lightblue;;;;;;;#ADD8E6
websafe;ghostwhite;;;;;;;#F8F8FF
websafe;honeydew;;;;;;;#F0FFF0
websafe;cornflowerblue;;;;;;;#6495ED
websafe;slateblue;;;;;;;#6A5ACD
websafe;linen;;;;;;;#FAF0E6
websafe;purple;;;;;;;#800080
websafe;powderblue;;;;;;;#B0E0E6
websafe;seagreen;;;;;;;#2E8B57
websafe;darkkhaki;;;;;;;#BDB76B
websafe;snow;;;;;;;#FFFAFA
websafe;sienna;;;;;;;#A0522D
websafe;mediumblue;;;;;;;#0000CD
websafe;royalblue;;;;;;;#4169E1
websafe;lightcyan;;;;;;;#E0FFFF
websafe;darksalmon;;;;;;;#E9967A
websafe;mediumpurple;;;;;;;#9370D8
websafe;midnightblue;;;;;;;#191970
websafe;cornsilk;;;;;;;#FFF8DC
websafe;red;;;;;;;#FF0000
websafe;bisque;;;;;;;#FFE4C4
websafe;slategray;;;;;;;#708090
websafe;darkcyan;;;;;;;#008B8B
websafe;khaki;;;;;;;#F0E68C
websafe;wheat;;;;;;;#F5DEB3
websafe;deeppink;;;;;;;#FF1493
websafe;darkorchid;;;;;;;#9932CC
websafe;deepskyblue;;;;;;;#00BFFF
websafe;salmon;;;;;;;#FA8072
websafe;darkred;;;;;;;#8B0000
websafe;steelblue;;;;;;;#4682B4
websafe;palevioletred;;;;;;;#D87093
websafe;lightslategray;;;;;;;#778899
websafe;aliceblue;;;;;;;#F0F8FF
websafe;lightslategrey;;;;;;;#778899
websafe;lightgreen;;;;;;;#90EE90
websafe;orchid;;;;;;;#DA70D6
websafe;gainsboro;;;;;;;#DCDCDC
websafe;mediumseagreen;;;;;;;#3CB371
websafe;lightgray;;;;;;;#D3D3D3
websafe;mediumturquoise;;;;;;;#48D1CC
websafe;lemonchiffon;;;;;;;#FFFACD
websafe;cadetblue;;;;;;;#5F9EA0
websafe;lightyellow;;;;;;;#FFFFE0
websafe;lavenderblush;;;;;;;#FFF0F5
websafe;coral;;;;;;;#FF7F50
websafe;whitesmoke;;;;;;;#F5F5F5
websafe;mediumslateblue;;;;;;;#7B68EE
websafe;darkblue;;;;;;;#00008B
websafe;mediumaquamarine;;;;;;;#66CDAA
websafe;green;;;;;;;#008000
websafe;beige;;;;;;;#F5F5DC
websafe;blueviolet;;;;;;;#8A2BE2
websafe;azure;;;;;;;#F0FFFF
websafe;lightsteelblue;;;;;;;#B0C4DE
websafe;oldlace;;;;;;;#FDF5E6
